Date,Open,High,Low,Close,Volume
20241202,54300,54400,53100,53600,22044867
20241203,53100,54400,53100,53600,23374603
20241204,52000,53400,52000,53100,29004766
20241205,53200,54400,53200,53700,23588277
20241206,53900,54400,52700,54100,22861874
20241209,53500,54600,53200,53400,26227680
20241210,54500,54500,53700,54000,20783970
20241211,53600,54200,53400,54000,14565947
20241212,54000,56500,53900,55900,33476698
20241213,55800,56300,55500,56100,15908823
20241216,56300,56600,55200,55600,15277277
20241217,54700,55200,54000,54200,20215230
20241218,54100,55400,54000,54900,13698937
20241219,53500,53800,53100,53100,22481925
20241220,52700,53100,51900,53000,24674774
20241223,53400,54000,53300,53500,13672650
20241224,53700,54500,53600,54400,11634677
20241226,54500,54600,53500,53600,10517075
20241227,53500,54100,53200,53700,10747196
20241230,53300,54000,53100,53200,12624702
20250102,52700,53600,52300,53400,16630538
20250103,52800,55100,52800,54400,19318046
20250106,54400,56200,54300,55900,19034284
20250107,56800,57300,55400,55400,17030235
20250108,54800,57500,54700,57300,26593553
20250109,57600,57700,56100,56100,24490592
20250110,56100,56500,55200,55300,16059223
20250113,54600,55000,54100,54100,16868600
20250114,54200,54600,53700,53900,17465926
20250115,54100,54700,53500,53700,18625025
20250116,54200,55000,54100,54300,18627298
20250117,53800,54100,53200,53700,18805344
20250120,53600,53900,53300,53400,11822531
20250121,53700,54300,53300,53500,13535702
20250122,53400,54400,53100,54300,18341991
20250123,53700,54100,53500,53700,15588067
20250124,53600,53800,53200,53700,11867631
20250131,52200,53000,51700,52400,42186279
20250203,51100,51400,50800,51000,32344897
20250204,51600,53600,51500,52700,27214851
20250205,53600,53800,52800,52900,15974885
20250206,53400,54000,53200,54000,16466025
20250207,53900,54200,53600,53700,14476866
20250210,53000,55900,52900,55600,27577591
20250211,55500,56300,55000,55700,24596196
20250212,55100,55900,54500,55800,26428596
20250213,56100,56400,55600,55800,22448377
20250214,56000,57300,56000,56000,23979779
20250217,56100,56500,55700,56000,11916027
20250218,56200,57200,55900,56900,22131007
20250219,57400,58900,57300,58700,25395151
20250220,59100,59100,58100,58400,21589059
20250221,58400,58500,57100,58200,22198428
20250224,57300,57700,57200,57300,14138471
20250225,56600,57800,56500,57200,14625181
20250226,57000,57100,56100,56600,18117091
20250227,56500,57100,56200,56300,14975356
20250228,55400,55700,54500,54500,28036698
20250304,53900,55000,53800,54500,18553933
20250305,55100,55400,54000,54000,16578817
20250306,54100,54500,54000,54300,12258101
20250307,53500,54200,53400,53700,14274992
20250310,53500,54800,53500,53700,12921670
20250311,52500,54100,52500,53600,17740891
20250312,53800,55300,53600,54900,17973221
20250313,55800,55900,54200,54700,24132151
20250314,54500,55100,54400,54700,10845154
20250317,55500,57800,55400,57600,35559021
20250318,58800,59000,57300,57600,28138594
20250319,57400,59200,57400,58500,29421759
20250320,59200,60300,58500,60200,34989004
20250321,60900,61700,60400,61700,40155612
20250324,61200,61600,60500,60500,14088094
20250325,60900,61100,59500,59800,17259455
20250326,59800,61400,59700,61400,16431645
20250327,60900,62000,60800,61800,20389790
20250328,60700,61100,60000,60200,16282514
20250331,59500,59700,57800,57800,17633494
20250401,58700,59600,57900,58800,13841706
20250402,58800,59400,58300,58800,14402297
20250403,56900,57800,56900,57600,19508076
20250404,56200,58200,55700,56100,23527139
