Date,Open,High,Low,Close,Volume
20251015,92300,95300,92100,95000,21050111
20251016,95300,97700,95000,97700,28141060
20251017,97200,99100,96700,97900,22730809
20251020,97900,98300,96000,98100,17589756
20251021,98500,99900,97300,97500,22803830
20251022,97100,98600,95500,98600,15937611
20251023,96800,98500,96300,96500,18488581
20251024,97900,99000,97700,98800,18801925
20251027,101300,102000,100600,102000,22169970
20251028,100900,101000,99100,99500,20002282
20251029,100200,101000,99100,100500,20899788
20251030,102400,105800,102000,104100,34570017
20251031,105000,108600,103300,107500,54824564
20251103,106900,111500,106500,111100,30110066
20251104,111800,112400,104900,104900,30450281
20251105,101000,102000,96700,100600,44843020
20251106,103700,103800,98800,99200,28655689
20251107,96400,100300,96300,97900,22908083
20251110,98600,101000,97900,100600,23842327
20251111,103700,106000,102000,103500,27742542
20251112,103000,103900,101600,103100,19413497
20251113,102500,104200,102300,102800,20838741
20251114,99000,99600,97200,97200,21806342
20251117,99800,101000,99500,100600,17192584
20251118,99800,100900,97500,97800,18684068
20251119,97100,97500,94600,96500,18993346
20251120,100900,102900,99500,100600,25360435
20251121,95600,96800,94500,94800,23103574
20251124,97800,99000,96200,96700,29831172
20251125,101400,101400,97800,99300,16108052
