Date,Type,Name,Price,Qty,Profit,Reason
2024-01-23,Buy,인버스2X,2553.3946156257957,783,0.0,"스마트_돌파(k=0.47,Vol_OK)"
2024-01-29,Buy,레버리지,16588.31939247734,119,0.0,"스마트_돌파(k=0.51,Vol_OK)"
2024-01-31,Sell,레버리지,16272.39,119,-1.9045292353160999,추세이탈(SMA20)_매도
2024-02-01,Sell,인버스2X,2425.14,783,-5.022906167379174,추세이탈(SMA20)_매도
2024-02-01,Buy,레버리지,16615.488202638142,118,0.0,"스마트_돌파(k=0.51,Vol_OK)"
2024-02-06,Buy,한중엔시에스,24244.06494892895,82,0.0,"스마트_돌파(k=0.63,Vol_OK)"
2024-02-13,Sell,한중엔시에스,23453.0,82,-3.2629220825606535,RSI초과열(85)_익절
2024-02-13,Buy,한국카본,10734.97584032385,186,0.0,"스마트_돌파(k=0.45,Vol_OK)"
2024-02-21,Sell,한국카본,10538.88,186,-1.8267003413948553,추세이탈(SMA20)_매도
2024-02-22,Buy,한중엔시에스,25741.367923615588,77,0.0,"스마트_돌파(k=0.69,Vol_OK)"
2024-02-23,Sell,한중엔시에스,26896.1,77,4.485900204724704,RSI초과열(85)_익절
2024-02-26,Buy,한중엔시에스,29910.076104288397,66,0.0,"스마트_돌파(k=0.69,Vol_OK)"
2024-02-27,Sell,한중엔시에스,30339.2,66,1.4347134865700915,RSI초과열(85)_익절
2024-03-05,Buy,한중엔시에스,30981.84,64,0.0,"스마트_돌파(k=0.70,Vol_OK)"
2024-03-06,Sell,한중엔시에스,29940.0,64,-3.3627441107435847,RSI초과열(85)_익절
2024-03-07,Buy,인버스2X,2244.277378461,889,0.0,"스마트_돌파(k=0.63,Vol_OK)"
2024-03-08,Sell,인버스2X,2150.69,889,-4.170045082625965,추세이탈(SMA20)_매도
2024-03-11,Buy,한중엔시에스,29791.23772561238,66,0.0,"스마트_돌파(k=0.67,Vol_OK)"
2024-03-14,Buy,한국카본,10631.083063335482,188,0.0,"스마트_돌파(k=0.49,Vol_OK)"
2024-03-19,Buy,인버스2X,2220.6553200965704,897,0.0,"스마트_돌파(k=0.62,Vol_OK)"
2024-03-20,Sell,인버스2X,2125.74,897,-4.274203170460648,추세이탈(SMA20)_매도
2024-04-11,Sell,한국카본,10508.94,188,-1.148923986463135,추세이탈(SMA20)_매도
2024-04-12,Sell,레버리지,19306.31,118,16.194659853176155,추세이탈(SMA20)_매도
2024-04-12,Rebalance,한중엔시에스,38150.0,11,0.0,비중초과
2024-04-12,Sell,한중엔시에스,38073.7,55,27.801672259044636,RSI초과열(85)_익절
2024-04-15,Buy,인버스2X,2146.2062666919405,973,0.0,"스마트_돌파(k=0.53,Vol_OK)"
2024-04-18,Buy,한국카본,10699.231943167215,195,0.0,"스마트_돌파(k=0.63,Vol_OK)"
2024-04-30,Buy,레버리지,19240.899235773213,109,0.0,"스마트_돌파(k=0.52,Vol_OK)"
2024-05-07,Sell,인버스2X,2000.99,973,-6.766184077720075,추세이탈(SMA20)_매도
2024-05-08,Buy,삼성전자,81462.6,25,0.0,MACD_골든크로스(추세장)
2024-05-14,Sell,삼성전자,78143.4,25,-4.074507810946387,MACD_데드크로스
2024-05-17,Sell,한국카본,10968.02,195,2.5122182438940395,추세이탈(SMA20)_매도
2024-05-23,Buy,한중엔시에스,38235.78445107951,53,0.0,"스마트_돌파(k=0.53,Vol_OK)"
2024-05-24,Buy,인버스2X,2096.548516613642,997,0.0,"스마트_돌파(k=0.58,Vol_OK)"
2024-05-24,Sell,레버리지,19026.87,109,-1.1123660757771916,추세이탈(SMA20)_매도
2024-05-27,Sell,인버스2X,2020.95,997,-3.6058558156216183,추세이탈(SMA20)_매도
2024-05-28,Sell,한중엔시에스,40618.6,53,6.231899209415104,RSI초과열(85)_익절
2024-05-29,Buy,인버스2X,2077.822580431831,990,0.0,"스마트_돌파(k=0.55,Vol_OK)"
2024-06-04,Buy,한국카본,11119.396964868025,185,0.0,"스마트_돌파(k=0.38,Vol_OK)"
