Date,Open,High,Low,Close,Volume,Change
2023-12-22,17825,17895,17595,17595,9938908,0.005141388174807249
2023-12-26,17790,17840,17570,17720,9656740,0.007104290991759132
2023-12-27,17820,18130,17740,18130,13445833,0.023137697516929956
2023-12-28,18160,18705,18085,18705,14383818,0.031715388858245985
2024-01-02,18450,19105,18415,18985,14759657,0.014969259556268488
2024-01-03,18485,18500,17915,17915,17371540,-0.05636028443508034
2024-01-04,17610,17870,17470,17590,19681113,-0.018141222439296723
2024-01-05,17570,17655,17410,17490,15352184,-0.005685048322910724
2024-01-08,17635,17735,17310,17365,18168536,-0.007146941109205218
2024-01-09,17780,17840,17115,17230,29242098,-0.00777425856608116
2024-01-10,17230,17285,16810,16860,19333802,-0.021474172954149773
2024-01-11,16890,17100,16785,16950,21265446,0.005338078291814874
2024-01-12,16785,16920,16520,16590,23764085,-0.0212389380530974
2024-01-15,16660,16850,16585,16720,17103272,0.007836045810729386
2024-01-16,16550,16650,16210,16260,25386965,-0.027511961722488043
2024-01-17,16395,16430,15460,15480,43672978,-0.047970479704797064
2024-01-18,15550,15720,15400,15615,26990217,0.008720930232558155
2024-01-19,15955,16120,15890,16065,28232360,0.028818443804034644
2024-01-22,16400,16405,16100,16100,23689477,0.002178649237472685
2024-01-23,16230,16315,16050,16270,23702694,0.010559006211180222
2024-01-24,16270,16270,15875,16120,21698811,-0.009219422249538978
2024-01-25,16145,16215,15970,16145,17289973,0.0015508684863523303
2024-01-26,15945,16520,15870,16170,18912545,0.0015484670176524329
2024-01-29,16290,16735,16215,16525,24930526,0.02195423623995052
2024-01-30,16725,16825,16405,16495,21067976,-0.0018154311649016819
2024-01-31,16240,16410,16200,16305,12330315,-0.011518642012731117
2024-02-01,16255,16890,16250,16840,23762254,0.032812020852499124
2024-02-02,17000,17985,17000,17910,42509126,0.06353919239904982
2024-02-05,17795,17820,17055,17505,30622667,-0.022613065326633208
2024-02-06,17330,17645,17145,17365,24181930,-0.007997714938589029
2024-02-07,17545,18115,17515,17855,25754923,0.028217679239850302
2024-02-08,17975,18145,17840,17905,21838745,0.0028003360403248134
2024-02-13,18200,18515,18180,18280,21107582,0.020943870427254874
2024-02-14,17730,17945,17630,17815,24636889,-0.025437636761487914
2024-02-15,18190,18220,17740,17775,16347333,-0.0022452989054168038
2024-02-16,18030,18140,17845,18125,17703042,0.019690576652601877
2024-02-19,18200,18740,18195,18675,20951344,0.030344827586206824
2024-02-20,18590,18595,18035,18225,20972985,-0.02409638554216864
2024-02-21,18260,18475,18030,18140,24367274,-0.004663923182441687
2024-02-22,18470,18510,18190,18345,20348205,0.011300992282249123
2024-02-23,18610,18870,18390,18440,32994773,0.005178522758244819
2024-02-26,18250,18295,17835,18135,21005461,-0.016540130151843857
2024-02-27,18100,18235,17790,17815,27398656,-0.017645437000275765
2024-02-28,17935,18370,17825,18270,18474284,0.025540275049115824
2024-02-29,18095,18260,17925,18155,17173626,-0.006294471811713165
2024-03-04,18505,18860,18460,18670,21855534,0.028366841090608608
2024-03-05,18520,18870,18340,18340,13827173,-0.01767541510444559
2024-03-06,18160,18295,18045,18225,16171409,-0.006270447110141797
2024-03-07,18380,18490,18080,18250,20628002,0.00137174211248281
2024-03-08,18700,18895,18625,18765,22681185,0.028219178082191876
2024-03-11,18525,18670,18390,18445,17610341,-0.017053024247268844
2024-03-12,18545,18820,18370,18745,17169303,0.01626457034426676
2024-03-13,18900,19060,18740,18900,19591542,0.008268871699119718
2024-03-14,18995,19275,18980,19265,16586280,0.01931216931216939
2024-03-15,18990,19025,18545,18545,21919941,-0.03737347521411882
2024-03-18,18650,18760,18420,18740,16472723,0.010514963602049177
2024-03-19,18490,18490,18105,18305,26973266,-0.02321237993596581
2024-03-20,18555,18945,18555,18925,22788610,0.03387052717836658
2024-03-21,19600,20045,19535,19980,24239807,0.055746367239101646
2024-03-22,19945,20190,19705,19865,15501214,-0.005755755755755709
2024-03-25,20010,20165,19620,19735,14504432,-0.0065441731688899996
2024-03-26,20050,20500,19995,20100,20869890,0.01849505953889019
2024-03-27,19885,20220,19835,20095,10663453,-0.00024875621890552146
2024-03-28,20060,20280,19975,20085,11940232,-0.0004976362279174307
2024-03-29,20280,20370,20015,20210,12879973,0.006223549912870219
2024-04-01,20610,20635,20235,20240,13869594,0.0014844136566056765
2024-04-02,20180,20530,20105,20370,14989521,0.006422924901185789
2024-04-03,20050,20100,19710,19720,13122139,-0.031909671084928815
2024-04-04,20200,20340,20085,20315,14100932,0.030172413793103425
2024-04-05,19855,20130,19700,19860,13215637,-0.02239724341619498
2024-04-08,19945,20100,19830,20020,9711765,0.00805639476334341
2024-04-09,20205,20310,19715,19775,14243993,-0.012237762237762184
2024-04-11,19120,19905,19060,19745,14428943,-0.001517067003792616
2024-04-12,19720,19770,19305,19345,14589633,-0.020258293238794578
2024-04-15,19075,19165,18675,19155,20407082,-0.009821659343499656
2024-04-16,18700,18775,18080,18255,29862678,-0.04698512137823019
2024-04-17,18350,18435,17855,17875,25765950,-0.020816214735688843
2024-04-18,17985,18545,17905,18495,20265108,0.03468531468531477
2024-04-19,18015,18025,17265,17775,52999229,-0.038929440389294356
2024-04-22,18110,18330,17930,18255,29228860,0.02700421940928277
2024-04-23,18280,18405,18120,18200,24381242,-0.003012873185428644
2024-04-24,18750,18965,18730,18880,25784960,0.03736263736263745
2024-04-25,18400,18550,18210,18220,21971418,-0.03495762711864403
2024-04-26,18560,18730,18375,18605,26481580,0.02113062568605928
2024-04-29,18875,19005,18770,18970,19272606,0.019618382155334624
2024-04-30,18980,19335,18910,19080,20045562,0.00579862941486553
2024-05-02,18800,19055,18775,18940,12241860,-0.007337526205450695
