Date,Open,High,Low,Close,Volume,Adj Close
2023-12-22,337.0,343.25,334.5,338.25,3522512,292.3014831542969
2023-12-26,336.5,336.75,330.75,332.25,2327420,287.1165466308594
2023-12-27,332.0,334.0,329.75,330.5,3599104,285.6042785644531
2023-12-28,328.25,332.75,327.75,331.75,2501872,286.6844177246094
2023-12-29,332.25,341.0,331.25,336.25,4782888,290.57318115234375
2024-01-02,345.25,359.5,344.75,353.5,5075128,305.47991943359375
2024-01-03,360.75,366.25,358.0,364.75,5269900,315.2016906738281
2024-01-04,371.0,371.75,362.0,371.0,4509448,320.6026916503906
2024-01-05,371.0,374.0,362.25,370.0,5839924,319.738525390625
2024-01-08,366.75,367.25,346.5,347.25,4619584,300.07891845703125
2024-01-09,355.25,356.0,343.0,345.5,4429984,298.5666809082031
2024-01-10,344.75,347.25,336.0,338.5,3905648,292.5175476074219
2024-01-11,336.25,350.0,332.5,337.25,6202276,291.4373474121094
2024-01-12,334.75,340.5,332.75,336.75,4530920,291.0052795410156
2024-01-16,340.0,343.75,333.25,337.25,5353348,291.4373474121094
2024-01-17,345.75,353.75,342.0,343.0,5654356,296.4062805175781
2024-01-18,335.5,338.75,327.5,328.75,6503188,284.0919494628906
2024-01-19,324.0,325.25,309.25,309.5,6489116,267.4569396972656
2024-01-22,305.0,310.0,302.0,308.5,4553524,266.5927734375
2024-01-23,307.25,311.25,304.5,304.75,3717964,263.3522033691406
2024-01-24,296.5,301.0,291.25,299.75,6939512,259.0314025878906
2024-01-25,295.0,304.5,293.5,299.25,5785252,258.599365234375
2024-01-26,303.5,306.25,299.75,304.75,4522420,263.3522033691406
2024-01-29,304.0,305.5,295.25,295.75,3664364,255.5747833251953
2024-01-30,298.0,303.75,296.75,301.75,3813832,260.7597351074219
2024-01-31,311.5,320.0,307.0,319.5,7089064,276.0985412597656
2024-02-01,316.0,318.25,307.75,308.5,6455040,266.5927734375
2024-02-02,305.0,307.0,290.75,293.0,7590612,253.19837951660156
2024-02-05,293.5,301.75,292.25,294.5,6225876,254.49456787109375
2024-02-06,292.5,301.5,291.25,296.5,4929656,256.2229309082031
2024-02-07,291.0,293.75,285.75,287.75,4975468,248.6614990234375
2024-02-08,287.75,289.25,284.75,286.25,3199788,247.3652801513672
2024-02-09,284.25,286.0,276.5,278.0,4144340,240.2360076904297
2024-02-12,278.5,283.0,274.25,281.5,4120708,243.260498046875
2024-02-13,297.25,301.25,289.5,295.0,6691260,254.92662048339844
2024-02-14,289.25,294.25,284.5,285.25,4850200,246.50112915039062
2024-02-15,284.5,289.75,282.5,283.25,3951288,244.7727813720703
2024-02-16,282.75,292.75,282.5,291.25,5586220,251.68606567382812
2024-02-20,295.75,305.75,292.5,298.0,5896380,257.5191345214844
2024-02-21,304.0,310.0,301.5,301.75,5679520,260.7597351074219
2024-02-22,283.25,285.0,273.5,275.5,6436968,238.0756072998047
2024-02-23,272.75,280.0,271.0,278.0,4837344,240.2360076904297
2024-02-26,276.75,279.25,274.75,278.75,3702576,240.88406372070312
2024-02-27,277.0,282.0,276.25,276.75,4140568,239.1558074951172
2024-02-28,281.0,283.5,278.75,281.25,4012484,243.04446411132812
2024-02-29,276.25,282.5,272.5,274.75,5096740,237.42745971679688
2024-03-01,273.25,273.25,260.75,262.25,6761764,226.62548828125
2024-03-04,262.5,266.0,261.75,265.5,4068872,229.4340057373047
2024-03-05,271.25,284.25,271.25,279.75,6359156,241.7482452392578
2024-03-06,272.0,278.5,268.5,274.5,7672280,237.21144104003906
2024-03-07,268.5,271.25,260.25,262.75,6590816,227.05755615234375
2024-03-08,262.25,275.5,257.0,274.0,9022692,236.77932739257812
2024-03-11,277.0,281.0,275.0,277.25,5447056,239.58786010742188
2024-03-12,273.0,279.25,264.75,265.25,6324836,229.21792602539062
2024-03-13,267.5,273.75,267.25,272.0,4726212,235.05099487304688
2024-03-14,269.75,279.5,268.75,274.0,7494612,236.77932739257812
2024-03-15,280.0,286.5,278.75,284.0,6267592,245.42091369628906
2024-03-18,273.75,276.75,269.25,276.25,5718436,238.72369384765625
